City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,woodward,36.43,-99.39,59.0,28,1,24.16,US,1581196329
176,mandurah,-32.55,115.7,59.0,77,0,8.05,AU,1581196329
177,hamilton,39.18,-84.53,36.0,74,90,5.82,US,1581196320
178,tiksi,71.69,128.87,-18.51,66,0,6.02,RU,1581196330
179,kincardine,56.07,-3.72,46.99,87,90,31.09,GB,1581196330
180,necochea,-38.55,-58.74,64.0,81,53,5.99,AR,1581196330
181,touros,-5.2,-35.46,86.0,62,20,13.87,BR,1581196330
182,zhanakorgan,43.91,67.25,45.72,48,100,17.76,KZ,1581196330
183,aksha,50.28,113.29,6.87,80,1,3.18,RU,1581196330
184,constitucion,-35.33,-72.42,67.87,47,0,9.53,CL,1581196330
185,killarney,52.05,-9.52,53.6,81,90,20.8,IE,1581196330
186,vaitape,-16.52,-151.75,82.36,82,98,21.68,PF,1581196330
187,caucaia,-3.74,-38.65,84.2,66,59,13.87,BR,1581196182
188,kimbe,-5.55,150.14,76.86,93,100,3.24,PG,1581196099
189,te anau,-45.42,167.72,47.07,72,34,1.72,NZ,1581196330
190,brezova pod bradlom,48.66,17.54,37.0,51,0,11.41,SK,1581196331
191,bulgan,48.81,103.53,14.97,62,6,3.71,MN,1581196331
192,nanortalik,60.14,-45.24,18.68,72,0,38.3,GL,1581196123
193,avesta,60.15,16.17,37.4,91,100,5.82,SE,1581196331
194,sinnamary,5.38,-52.95,78.96,79,100,18.97,GF,1581196331
195,guadalupe y calvo,26.1,-106.97,60.17,31,67,6.91,MX,1581196331
196,champerico,14.3,-91.92,89.6,52,75,6.93,GT,1581196331
197,thompson,55.74,-97.86,8.6,78,75,11.41,CA,1581196331
198,mezen,65.85,44.24,16.2,93,100,11.41,RU,1581196331
199,bayshore gardens,27.43,-82.59,73.99,43,1,6.93,US,1581196331
200,aginskoye,51.1,114.53,10.33,82,0,11.86,RU,1581196331
201,padang,-0.95,100.35,65.91,94,100,3.47,ID,1581196331
202,mar del plata,-38.0,-57.56,66.2,68,75,13.87,AR,1581196331
203,lagoa,39.05,-27.98,62.91,82,100,23.31,PT,1581196331
204,lorengau,-2.02,147.27,82.96,76,66,13.8,PG,1581196332
205,bela,25.93,81.98,51.13,60,0,5.1,IN,1581196332
206,bilma,18.69,12.92,64.2,22,0,9.4,NE,1581196332
207,codrington,-38.27,141.97,64.92,84,84,17.98,AU,1581196332
208,kristiansund,63.11,7.73,44.6,86,100,12.75,NO,1581196332
209,rawson,-43.3,-65.1,60.8,75,0,13.8,AR,1581196332
210,ucluelet,48.93,-125.55,48.99,57,5,14.99,CA,1581196038
211,ambon,-3.7,128.18,77.0,88,40,3.36,ID,1581196332
212,santiago del estero,-27.8,-64.26,86.27,56,63,2.08,AR,1581196332
213,pangai,-19.8,-174.35,81.88,77,0,20.09,TO,1581196332
214,kroonstad,-27.65,27.23,61.0,92,15,9.04,ZA,1581196233
215,golden,39.76,-105.22,54.0,59,1,4.7,US,1581196202
216,melfi,41.0,15.65,44.6,48,5,11.41,IT,1581196332
217,bambous virieux,-20.34,57.76,78.8,78,40,5.82,MU,1581196332
218,husavik,66.04,-17.34,28.4,86,31,2.24,IS,1581196332
219,burla,21.5,83.87,58.91,94,47,3.74,IN,1581196332
220,dagana,16.52,-15.51,81.07,10,100,11.95,MR,1581196332
221,merritt island,28.54,-80.67,71.6,37,1,4.7,US,1581196333
222,okhotsk,59.38,143.3,-9.15,85,98,8.28,RU,1581196333
223,aryanah,36.86,10.19,51.8,62,20,3.36,TN,1581196333
224,keffi,8.85,7.87,80.6,36,0,3.36,NG,1581196333
225,ponta do sol,32.67,-17.1,64.4,77,75,9.17,PT,1581196214
